repository,total_files,total_folders,lines,python,html,css,javascript,java,cpp,dependency_count,readme_score,functions,complexity,language_count,tech_stack_count,has_readme,has_license,has_gitignore,stars,forks,watchers,open_issues,language,size,created_days,updated_days,health_score,health_grade,complexity_supported,functions_supported
aseprite/aseprite,1926,110,293399,0,0,0,0,0,800,0,50,-,Not Supported,10,1,True,False,True,39090,8795,39090,1992,C++,47614,4392.94,0.01,52.0,Needs Improvement,False,False
asgeirtj/system_prompts_leaks,396,93,195889,2,0,0,6,0,0,0,55,280,6.28,7,3,True,True,False,63798,10464,63798,49,JavaScript,10502,483.81,0.0,58.25,Moderate,True,True
ashishps1/awesome-low-level-design,3343,689,193051,538,0,0,73,787,248,4,40,4987,1.5,15,4,True,True,True,26471,6420,26471,81,Java,15979,1016.5,0.03,81.0,Good,True,True
ashishps1/awesome-system-design-resources,26,10,13928,11,0,0,0,11,0,0,30,80,1.69,3,2,True,True,False,41030,8691,41030,16,Java,2340,1039.85,0.0,61.5,Moderate,True,True
astaxie/build-web-application-with-golang,2938,348,1202202,2,0,0,0,0,0,0,20,-,Not Supported,5,1,True,False,True,43908,10412,43908,138,Go,38293,5140.44,0.19,47.5,Needs Improvement,False,False
authelia/authelia,2696,547,459873,0,81,4,7,0,0,80,90,562,4.46,16,3,True,True,True,28740,1474,28740,124,Go,82710,3552.89,0.04,75.5,Good,True,True
avelino/awesome-go,94,14,25925,0,3,3,0,0,0,0,90,-,Not Supported,9,0,True,True,True,182633,13522,182633,220,Go,11820,4437.36,0.0,68.0,Moderate,False,False
axios/axios,466,84,96019,0,9,1,192,0,0,53,90,714,5.46,7,2,True,True,True,109194,11830,109194,78,JavaScript,28511,4393.99,0.09,71.5,Good,True,True
azl397985856/leetcode,860,25,825490,1,0,0,17,0,0,0,50,19,5.11,7,3,True,False,True,55747,9372,55747,12,JavaScript,126606,3074.54,0.26,57.5,Moderate,True,True
barry-ran/QtScrcpy,138,32,295070,2,0,1,0,0,17,0,90,2,45.0,11,1,True,True,True,31700,3751,31700,622,C++,43385,2624.75,0.21,57.5,Moderate,True,True
bazelbuild/bazel,8728,1064,2348634,140,43,7,7,1334,3,11,55,47400,3.7,20,5,True,True,True,25776,4584,25776,1914,Java,1018830,4461.26,0.03,77.25,Good,True,True
beego/beego,401,84,76150,0,0,0,0,0,0,0,80,-,Not Supported,7,0,True,True,True,32417,5577,32417,21,Go,12083,5295.82,0.21,66.5,Moderate,False,False
bigskysoftware/htmx,635,88,800261,0,156,1,110,0,0,17,80,3508,6.79,11,2,True,True,True,49098,1640,49098,681,JavaScript,140361,2329.25,0.0,77.0,Good,True,True
binary-husky/gpt_academic,450,60,116091,276,3,19,18,0,0,45,80,2445,6.0,9,5,True,True,True,71275,8320,71275,330,Python,72756,1258.55,0.08,70.0,Good,True,True
binwiederhier/ntfy,615,78,275118,3,4,5,46,0,0,32,75,640,4.15,14,4,True,True,True,33837,1571,33837,373,Go,43260,1771.12,0.04,77.25,Good,True,True
